date,product,store,demand,is_promotion,unit_cost,selling_price,holding_cost_per_unit,stockout_cost_per_unit,temperature,is_weekend,is_holiday
2022-01-01,Electronics,Store_A,46,0,150,206.7,3.0,22.5,21.2,1,0
2022-01-02,Electronics,Store_A,66,1,150,248.11,3.0,22.5,23.5,1,0
2022-01-03,Electronics,Store_A,71,1,150,208.76,3.0,22.5,19.2,0,0
2022-01-04,Electronics,Store_A,58,0,150,216.84,3.0,22.5,23.9,0,0
2022-01-05,Electronics,Store_A,69,0,150,222.48,3.0,22.5,19.1,0,0
2022-01-06,Electronics,Store_A,63,0,150,233.57,3.0,22.5,23.3,0,0
2022-01-07,Electronics,Store_A,58,0,150,207.79,3.0,22.5,20.3,0,0
2022-01-08,Electronics,Store_A,62,1,150,202.33,3.0,22.5,24.9,1,0
2022-01-09,Electronics,Store_A,50,0,150,232.14,3.0,22.5,21.8,1,0
2022-01-10,Electronics,Store_A,74,1,150,244.69,3.0,22.5,23.7,0,0
2022-01-11,Electronics,Store_A,82,0,150,208.86,3.0,22.5,26.4,0,0
2022-01-12,Electronics,Store_A,74,0,150,264.14,3.0,22.5,25.7,0,0
2022-01-13,Electronics,Store_A,76,1,150,215.35,3.0,22.5,18.6,0,0
2022-01-14,Electronics,Store_A,54,0,150,235.7,3.0,22.5,20.9,0,0
2022-01-15,Electronics,Store_A,57,0,150,249.68,3.0,22.5,26.5,1,0
2022-01-16,Electronics,Store_A,56,0,150,203.69,3.0,22.5,22.2,1,0
2022-01-17,Electronics,Store_A,58,0,150,199.77,3.0,22.5,27.6,0,0
2022-01-18,Electronics,Store_A,77,0,150,242.82,3.0,22.5,21.9,0,0
2022-01-19,Electronics,Store_A,71,0,150,248.49,3.0,22.5,24.6,0,0
2022-01-20,Electronics,Store_A,76,0,150,232.03,3.0,22.5,26.1,0,0
2022-01-21,Electronics,Store_A,60,0,150,203.09,3.0,22.5,25.1,0,0
2022-01-22,Electronics,Store_A,63,1,150,233.14,3.0,22.5,28.7,1,0
2022-01-23,Electronics,Store_A,56,0,150,251.67,3.0,22.5,21.3,1,0
2022-01-24,Electronics,Store_A,65,0,150,207.09,3.0,22.5,24.7,0,0
2022-01-25,Electronics,Store_A,76,0,150,260.36,3.0,22.5,29.7,0,0
2022-01-26,Electronics,Store_A,82,0,150,262.21,3.0,22.5,27.0,0,0
2022-01-27,Electronics,Store_A,70,0,150,227.03,3.0,22.5,25.6,0,0
2022-01-28,Electronics,Store_A,52,0,150,211.66,3.0,22.5,28.0,0,0
2022-01-29,Electronics,Store_A,60,0,150,219.24,3.0,22.5,26.7,1,0
2022-01-30,Electronics,Store_A,56,0,150,267.88,3.0,22.5,31.6,1,0
2022-01-31,Electronics,Store_A,68,0,150,217.57,3.0,22.5,22.6,0,0
2022-02-01,Electronics,Store_A,76,0,150,232.7,3.0,22.5,26.6,0,0
2022-02-02,Electronics,Store_A,93,1,150,212.97,3.0,22.5,27.3,0,0
2022-02-03,Electronics,Store_A,74,0,150,213.15,3.0,22.5,28.3,0,0
2022-02-04,Electronics,Store_A,61,0,150,249.62,3.0,22.5,30.8,0,0
2022-02-05,Electronics,Store_A,65,0,150,235.18,3.0,22.5,32.9,1,0
2022-02-06,Electronics,Store_A,72,1,150,208.99,3.0,22.5,31.7,1,0
2022-02-07,Electronics,Store_A,89,1,150,196.24,3.0,22.5,31.7,0,0
2022-02-08,Electronics,Store_A,80,0,150,208.08,3.0,22.5,25.7,0,0
2022-02-09,Electronics,Store_A,82,0,150,205.31,3.0,22.5,29.0,0,0
2022-02-10,Electronics,Store_A,73,0,150,244.5,3.0,22.5,31.4,0,0
2022-02-11,Electronics,Store_A,71,0,150,213.14,3.0,22.5,37.5,0,0
2022-02-12,Electronics,Store_A,68,1,150,221.19,3.0,22.5,33.7,1,0
2022-02-13,Electronics,Store_A,65,0,150,201.31,3.0,22.5,34.0,1,0
2022-02-14,Electronics,Store_A,72,0,150,195.69,3.0,22.5,33.0,0,0
2022-02-15,Electronics,Store_A,80,0,150,246.89,3.0,22.5,27.0,0,0
2022-02-16,Electronics,Store_A,84,0,150,212.79,3.0,22.5,28.0,0,0
2022-02-17,Electronics,Store_A,79,0,150,258.69,3.0,22.5,34.8,0,0
2022-02-18,Electronics,Store_A,64,0,150,222.58,3.0,22.5,31.6,0,0
2022-02-19,Electronics,Store_A,66,0,150,242.34,3.0,22.5,30.7,1,0
2022-02-20,Electronics,Store_A,75,0,150,231.94,3.0,22.5,31.8,1,0
2022-02-21,Electronics,Store_A,68,0,150,196.82,3.0,22.5,34.6,0,0
2022-02-22,Electronics,Store_A,80,0,150,267.5,3.0,22.5,34.1,0,0
2022-02-23,Electronics,Store_A,80,0,150,223.88,3.0,22.5,34.4,0,0
2022-02-24,Electronics,Store_A,73,0,150,236.76,3.0,22.5,30.6,0,0
2022-02-25,Electronics,Store_A,71,0,150,202.29,3.0,22.5,37.6,0,0
2022-02-26,Electronics,Store_A,68,0,150,250.56,3.0,22.5,32.6,1,0
2022-02-27,Electronics,Store_A,62,0,150,217.02,3.0,22.5,36.8,1,0
2022-02-28,Electronics,Store_A,75,0,150,263.49,3.0,22.5,33.5,0,0
2022-03-01,Electronics,Store_A,87,0,150,243.75,3.0,22.5,32.9,0,0
2022-03-02,Electronics,Store_A,84,0,150,220.35,3.0,22.5,33.5,0,0
2022-03-03,Electronics,Store_A,79,0,150,197.7,3.0,22.5,30.6,0,0
2022-03-04,Electronics,Store_A,62,0,150,239.31,3.0,22.5,34.3,0,0
2022-03-05,Electronics,Store_A,73,1,150,234.17,3.0,22.5,32.4,1,0
2022-03-06,Electronics,Store_A,69,0,150,201.4,3.0,22.5,29.7,1,0
2022-03-07,Electronics,Store_A,96,1,150,242.81,3.0,22.5,39.1,0,0
2022-03-08,Electronics,Store_A,82,0,150,219.22,3.0,22.5,35.0,0,0
2022-03-09,Electronics,Store_A,82,0,150,200.88,3.0,22.5,28.8,0,0
2022-03-10,Electronics,Store_A,88,1,150,208.0,3.0,22.5,38.9,0,0
2022-03-11,Electronics,Store_A,72,0,150,248.59,3.0,22.5,29.2,0,0
2022-03-12,Electronics,Store_A,67,0,150,240.88,3.0,22.5,39.1,1,0
2022-03-13,Electronics,Store_A,64,0,150,251.84,3.0,22.5,30.3,1,0
2022-03-14,Electronics,Store_A,87,1,150,202.34,3.0,22.5,39.9,0,0
2022-03-15,Electronics,Store_A,78,0,150,227.54,3.0,22.5,34.0,0,0
2022-03-16,Electronics,Store_A,91,0,150,198.4,3.0,22.5,38.4,0,0
2022-03-17,Electronics,Store_A,80,0,150,259.24,3.0,22.5,41.5,0,0
2022-03-18,Electronics,Store_A,70,0,150,238.93,3.0,22.5,34.7,0,0
2022-03-19,Electronics,Store_A,58,0,150,243.25,3.0,22.5,38.5,1,0
2022-03-20,Electronics,Store_A,70,0,150,223.96,3.0,22.5,34.9,1,0
2022-03-21,Electronics,Store_A,74,0,150,218.92,3.0,22.5,35.3,0,0
2022-03-22,Electronics,Store_A,81,0,150,247.26,3.0,22.5,33.7,0,0
2022-03-23,Electronics,Store_A,87,0,150,255.26,3.0,22.5,36.6,0,0
2022-03-24,Electronics,Store_A,82,0,150,255.51,3.0,22.5,32.7,0,0
2022-03-25,Electronics,Store_A,64,0,150,253.23,3.0,22.5,31.2,0,0
2022-03-26,Electronics,Store_A,72,0,150,251.59,3.0,22.5,33.6,1,0
2022-03-27,Electronics,Store_A,68,0,150,256.98,3.0,22.5,37.7,1,0
2022-03-28,Electronics,Store_A,75,0,150,195.81,3.0,22.5,37.5,0,0
2022-03-29,Electronics,Store_A,83,0,150,266.25,3.0,22.5,33.1,0,0
2022-03-30,Electronics,Store_A,93,0,150,228.63,3.0,22.5,38.2,0,0
2022-03-31,Electronics,Store_A,85,0,150,251.43,3.0,22.5,31.4,0,0
2022-04-01,Electronics,Store_A,69,0,150,236.21,3.0,22.5,35.0,0,0
2022-04-02,Electronics,Store_A,65,0,150,203.78,3.0,22.5,37.4,1,0
2022-04-03,Electronics,Store_A,71,0,150,202.58,3.0,22.5,39.1,1,0
2022-04-04,Electronics,Store_A,87,1,150,256.64,3.0,22.5,35.6,0,0
2022-04-05,Electronics,Store_A,88,0,150,266.04,3.0,22.5,33.5,0,0
2022-04-06,Electronics,Store_A,83,0,150,201.26,3.0,22.5,39.0,0,0
2022-04-07,Electronics,Store_A,72,0,150,262.98,3.0,22.5,39.6,0,0
2022-04-08,Electronics,Store_A,70,0,150,230.15,3.0,22.5,34.9,0,0
2022-04-09,Electronics,Store_A,84,1,150,238.75,3.0,22.5,37.2,1,0
2022-04-10,Electronics,Store_A,62,0,150,260.14,3.0,22.5,32.3,1,0
2022-04-11,Electronics,Store_A,76,0,150,269.47,3.0,22.5,37.7,0,0
2022-04-12,Electronics,Store_A,98,1,150,234.23,3.0,22.5,34.9,0,0
2022-04-13,Electronics,Store_A,84,0,150,242.07,3.0,22.5,40.3,0,0
2022-04-14,Electronics,Store_A,80,0,150,241.51,3.0,22.5,37.6,0,0
2022-04-15,Electronics,Store_A,71,0,150,221.5,3.0,22.5,30.5,0,0
2022-04-16,Electronics,Store_A,58,0,150,256.03,3.0,22.5,35.6,1,0
2022-04-17,Electronics,Store_A,71,0,150,226.37,3.0,22.5,38.9,1,0
2022-04-18,Electronics,Store_A,75,0,150,255.79,3.0,22.5,33.5,0,0
2022-04-19,Electronics,Store_A,84,0,150,223.57,3.0,22.5,31.0,0,0
2022-04-20,Electronics,Store_A,86,0,150,230.15,3.0,22.5,35.1,0,0
2022-04-21,Electronics,Store_A,79,0,150,259.85,3.0,22.5,34.0,0,0
2022-04-22,Electronics,Store_A,77,0,150,265.86,3.0,22.5,35.0,0,0
2022-04-23,Electronics,Store_A,64,0,150,204.69,3.0,22.5,29.2,1,0
2022-04-24,Electronics,Store_A,62,0,150,245.38,3.0,22.5,35.5,1,0
2022-04-25,Electronics,Store_A,72,0,150,245.37,3.0,22.5,32.9,0,0
2022-04-26,Electronics,Store_A,83,0,150,258.91,3.0,22.5,38.3,0,0
2022-04-27,Electronics,Store_A,89,0,150,225.26,3.0,22.5,34.0,0,0
2022-04-28,Electronics,Store_A,85,0,150,210.97,3.0,22.5,36.1,0,0
2022-04-29,Electronics,Store_A,63,0,150,227.81,3.0,22.5,37.7,0,0
2022-04-30,Electronics,Store_A,65,0,150,253.77,3.0,22.5,26.7,1,0
2022-05-01,Electronics,Store_A,70,0,150,266.21,3.0,22.5,34.1,1,0
2022-05-02,Electronics,Store_A,74,0,150,214.37,3.0,22.5,35.3,0,0
2022-05-03,Electronics,Store_A,82,0,150,219.66,3.0,22.5,34.0,0,0
2022-05-04,Electronics,Store_A,83,0,150,204.67,3.0,22.5,32.5,0,0
2022-05-05,Electronics,Store_A,74,0,150,220.93,3.0,22.5,34.0,0,0
2022-05-06,Electronics,Store_A,78,0,150,207.92,3.0,22.5,31.4,0,0
2022-05-07,Electronics,Store_A,60,0,150,201.65,3.0,22.5,30.6,1,0
2022-05-08,Electronics,Store_A,60,0,150,222.32,3.0,22.5,31.5,1,0
2022-05-09,Electronics,Store_A,73,0,150,254.96,3.0,22.5,32.1,0,0
2022-05-10,Electronics,Store_A,84,0,150,251.12,3.0,22.5,29.9,0,0
2022-05-11,Electronics,Store_A,80,0,150,231.34,3.0,22.5,27.9,0,0
2022-05-12,Electronics,Store_A,75,0,150,251.06,3.0,22.5,24.9,0,0
2022-05-13,Electronics,Store_A,84,1,150,262.14,3.0,22.5,28.3,0,0
2022-05-14,Electronics,Store_A,59,0,150,228.56,3.0,22.5,31.4,1,0
2022-05-15,Electronics,Store_A,61,0,150,223.3,3.0,22.5,28.2,1,0
2022-05-16,Electronics,Store_A,80,1,150,219.56,3.0,22.5,28.8,0,0
2022-05-17,Electronics,Store_A,81,0,150,245.93,3.0,22.5,33.3,0,0
2022-05-18,Electronics,Store_A,78,0,150,235.28,3.0,22.5,30.4,0,0
2022-05-19,Electronics,Store_A,74,0,150,204.57,3.0,22.5,35.0,0,0
2022-05-20,Electronics,Store_A,73,0,150,237.81,3.0,22.5,26.1,0,0
2022-05-21,Electronics,Store_A,62,0,150,212.79,3.0,22.5,30.2,1,0
2022-05-22,Electronics,Store_A,61,0,150,207.05,3.0,22.5,27.8,1,0
2022-05-23,Electronics,Store_A,68,0,150,262.26,3.0,22.5,27.8,0,0
2022-05-24,Electronics,Store_A,81,1,150,268.68,3.0,22.5,31.3,0,0
2022-05-25,Electronics,Store_A,82,0,150,259.91,3.0,22.5,28.8,0,0
2022-05-26,Electronics,Store_A,72,0,150,245.15,3.0,22.5,27.2,0,0
2022-05-27,Electronics,Store_A,74,0,150,216.0,3.0,22.5,33.5,0,0
