date,product,store,demand,is_promotion,unit_cost,selling_price,holding_cost_per_unit,stockout_cost_per_unit,temperature,is_weekend,is_holiday,product_enc,store_enc,day_of_week,day_of_month,month,quarter,week_of_year,year,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,roll_mean_30,roll_std_30,price_ratio,profit_margin
31-01-2022,Clothing,Store_A,101,0,30,51.71,0.6,4.5,24.4,0,0,0,0,0,31,1,1,5,2022,105,99,122,80,105.8571429,10.05698052,103.2142857,13.02765444,100.6666667,12.55699649,1.723666667,0.419841423
01-02-2022,Clothing,Store_A,121,0,30,49.81,0.6,4.5,22.6,0,0,0,0,1,1,2,1,5,2022,101,110,112,97,106.1428571,9.856107606,101.7142857,11.85442839,101.3666667,11.93512155,1.660333333,0.397711303
02-02-2022,Clothing,Store_A,115,0,30,44.07,0.6,4.5,28.2,0,0,0,0,2,2,2,1,5,2022,121,116,108,100,107.7142857,11.33893419,102.3571429,12.67102778,102.1666667,12.42656591,1.469,0.319264806
03-02-2022,Clothing,Store_A,104,0,30,46.68,0.6,4.5,25.7,0,0,0,0,3,3,2,1,5,2022,115,102,97,102,107.5714286,11.22285084,102.8571429,13.04346074,102.6666667,12.63638243,1.556,0.357326478
04-02-2022,Clothing,Store_A,97,0,30,39.54,0.6,4.5,26.3,0,0,0,0,4,4,2,1,5,2022,104,119,103,109,107.8571429,11.08194585,103.3571429,12.93538464,102.7333333,12.63801963,1.318,0.241274659
05-02-2022,Clothing,Store_A,89,0,30,41.58,0.6,4.5,28.7,1,0,0,0,5,5,2,1,5,2022,97,90,75,121,104.7142857,10.49943309,102.9285714,13.04704084,102.3333333,12.62273082,1.386,0.278499278
06-02-2022,Clothing,Store_A,92,0,30,50.31,0.6,4.5,29.6,1,0,0,0,6,6,2,1,5,2022,89,105,87,84,104.5714286,10.73711853,103.9285714,11.1387355,101.2666667,12.33982432,1.677,0.403697078
07-02-2022,Clothing,Store_A,128,1,30,49.78,0.6,4.5,28.2,0,0,0,0,0,7,2,1,6,2022,92,101,99,76,102.7142857,11.72908473,104.2857143,10.62238979,101.5333333,12.03653442,1.659333333,0.397348333
08-02-2022,Clothing,Store_A,133,1,30,51.7,0.6,4.5,33.3,0,0,0,0,1,8,2,1,6,2022,128,121,110,109,106.5714286,15.04279609,106.3571429,12.21982716,103.2666667,11.97679749,1.723333333,0.419729207
09-02-2022,Clothing,Store_A,120,0,30,45.9,0.6,4.5,25.6,0,0,0,0,2,9,2,1,6,2022,133,115,116,97,108.2857143,17.45197492,108,14.14213562,104.0666667,13.11995935,1.53,0.346405229
10-02-2022,Clothing,Store_A,136,1,30,47.3,0.6,4.5,35.5,0,0,0,0,3,10,2,1,6,2022,120,104,102,106,109,17.8699002,108.2857143,14.35499683,104.8333333,13.36253985,1.576666667,0.365750529
11-02-2022,Clothing,Store_A,127,1,30,44.96,0.6,4.5,29.8,0,0,0,0,4,11,2,1,6,2022,136,97,119,103,113.5714286,20.30481998,110.7142857,15.99244327,105.8333333,14.52484989,1.498666667,0.332740214
12-02-2022,Clothing,Store_A,101,0,30,46.79,0.6,4.5,32.1,1,0,0,0,5,12,2,1,6,2022,127,89,90,112,117.8571429,19.36860494,111.2857143,16.44771937,106.6333333,15.01604506,1.559666667,0.358837358
13-02-2022,Clothing,Store_A,105,0,30,42.6,0.6,4.5,29.6,1,0,0,0,6,13,2,1,6,2022,101,92,105,97,119.5714286,16.7417357,112.0714286,15.59321492,106.2666667,15.01478199,1.42,0.295774648
14-02-2022,Clothing,Store_A,98,0,30,42.48,0.6,4.5,29.2,0,0,0,0,0,14,2,1,7,2022,105,128,101,88,121.4285714,13.59971989,112.0714286,15.59321492,106.5333333,14.91523945,1.416,0.293785311
15-02-2022,Clothing,Store_A,116,0,30,48.24,0.6,4.5,34.4,0,0,0,0,1,15,2,1,7,2022,98,133,121,94,117.1428571,15.74196696,111.8571429,15.77659973,106.8666667,14.59507081,1.608,0.378109453
16-02-2022,Clothing,Store_A,122,0,30,40.88,0.6,4.5,30.3,0,0,0,0,2,16,2,1,7,2022,116,120,115,122,114.7142857,14.11517252,111.5,15.6094153,107.6,14.47852155,1.362666667,0.266144814
17-02-2022,Clothing,Store_A,112,0,30,45.86,0.6,4.5,24.5,0,0,0,0,3,17,2,1,7,2022,122,136,104,112,115,14.25949976,112,15.84055166,107.6,14.47852155,1.528666667,0.34583515
